track.album.album_type,track.album.external_urls.spotify,track.album.name,track.album.release_date,track.album.total_tracks,track.artists,track.duration_sec,track.id,track.name,track.popularity,context.type,context.href,context.external_urls.spotify,context.uri,artist_names
album,https://open.spotify.com/album/3Y5gM9xG4U5bXyMjpPWIRP,Full Speed (Expanded Edition),2015-03-04,16,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6KZDXtSj0SzGOV705nNeh3'}, 'href': 'https://api.spotify.com/v1/artists/6KZDXtSj0SzGOV705nNeh3', 'id': '6KZDXtSj0SzGOV705nNeh3', 'name': 'Kid Ink', 'type': 'artist', 'uri': 'spotify:artist:6KZDXtSj0SzGOV705nNeh3'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7kFfY4UjNdNyaeUgLIEbIF'}, 'href': 'https://api.spotify.com/v1/artists/7kFfY4UjNdNyaeUgLIEbIF', 'id': '7kFfY4UjNdNyaeUgLIEbIF', 'name': 'DeJ Loaf', 'type': 'artist', 'uri': 'spotify:artist:7kFfY4UjNdNyaeUgLIEbIF'}]",206.72,2npJP0YTkykkqjezhA1g8f,Be Real (feat. DeJ Loaf),57,playlist,https://api.spotify.com/v1/playlists/3OzMMElsYoQqtUPV9Se2f6,https://open.spotify.com/playlist/3OzMMElsYoQqtUPV9Se2f6,spotify:playlist:3OzMMElsYoQqtUPV9Se2f6,"['Kid Ink', 'DeJ Loaf']"
single,https://open.spotify.com/album/7tvDW76F8R90M3Qn1zsJhV,Cut Her Off,2014-01-01,1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5bgfj5zUoWpyeVatGDjn6H'}, 'href': 'https://api.spotify.com/v1/artists/5bgfj5zUoWpyeVatGDjn6H', 'id': '5bgfj5zUoWpyeVatGDjn6H', 'name': 'K CAMP', 'type': 'artist', 'uri': 'spotify:artist:5bgfj5zUoWpyeVatGDjn6H'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/17lzZA2AlOHwCwFALHttmp'}, 'href': 'https://api.spotify.com/v1/artists/17lzZA2AlOHwCwFALHttmp', 'id': '17lzZA2AlOHwCwFALHttmp', 'name': '2 Chainz', 'type': 'artist', 'uri': 'spotify:artist:17lzZA2AlOHwCwFALHttmp'}]",243.693,38hu3vGJYMvUyHkpSicepP,Cut Her Off,27,playlist,https://api.spotify.com/v1/playlists/3OzMMElsYoQqtUPV9Se2f6,https://open.spotify.com/playlist/3OzMMElsYoQqtUPV9Se2f6,spotify:playlist:3OzMMElsYoQqtUPV9Se2f6,"['K CAMP', '2 Chainz']"
album,https://open.spotify.com/album/7fHeCs5cgtXYqxBPG1iK1n,One More Love,2010-11-22,27,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai'}, 'href': 'https://api.spotify.com/v1/artists/1Cs0zKBU1kc0i8ypK3B9ai', 'id': '1Cs0zKBU1kc0i8ypK3B9ai', 'name': 'David Guetta', 'type': 'artist', 'uri': 'spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu'}, 'href': 'https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu', 'id': '0fA0VVWsXO9YnASrzqfmYu', 'name': 'Kid Cudi', 'type': 'artist', 'uri': 'spotify:artist:0fA0VVWsXO9YnASrzqfmYu'}]",210.093,7fLzbEOBOae9lUnOwr7Tse,Memories (feat. Kid Cudi),78,,,,,"['David Guetta', 'Kid Cudi']"
album,https://open.spotify.com/album/52u4anZbHd6UInnmHRFzba,Please Excuse Me for Being Antisocial,2019-12-06,16,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/757aE44tKEUQEqRuT6GnEB'}, 'href': 'https://api.spotify.com/v1/artists/757aE44tKEUQEqRuT6GnEB', 'id': '757aE44tKEUQEqRuT6GnEB', 'name': 'Roddy Ricch', 'type': 'artist', 'uri': 'spotify:artist:757aE44tKEUQEqRuT6GnEB'}]",196.652,0nbXyq5TXYPCO7pr3N8S4I,The Box,82,,,,,['Roddy Ricch']
album,https://open.spotify.com/album/6kzoWb4UzvKYgbDfAwgaFq,Konvicted,2006-01-01,12,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0z4gvV4rjIZ9wHck67ucSV'}, 'href': 'https://api.spotify.com/v1/artists/0z4gvV4rjIZ9wHck67ucSV', 'id': '0z4gvV4rjIZ9wHck67ucSV', 'name': 'Akon', 'type': 'artist', 'uri': 'spotify:artist:0z4gvV4rjIZ9wHck67ucSV'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR'}, 'href': 'https://api.spotify.com/v1/artists/7dGJo4pcD2V6oG8kP0tJRR', 'id': '7dGJo4pcD2V6oG8kP0tJRR', 'name': 'Eminem', 'type': 'artist', 'uri': 'spotify:artist:7dGJo4pcD2V6oG8kP0tJRR'}]",212.36,2kQuhkFX7uSVepCD3h29g5,Smack That,84,,,,,"['Akon', 'Eminem']"
album,https://open.spotify.com/album/0V7TZQmJBgI81M9Z7GWxCI,Shock Value,2007-04-02,17,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ'}, 'href': 'https://api.spotify.com/v1/artists/5Y5TRrQiqgUO4S36tzjIRZ', 'id': '5Y5TRrQiqgUO4S36tzjIRZ', 'name': 'Timbaland', 'type': 'artist', 'uri': 'spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/63wjoROpeh5f11Qm93UiJ1'}, 'href': 'https://api.spotify.com/v1/artists/63wjoROpeh5f11Qm93UiJ1', 'id': '63wjoROpeh5f11Qm93UiJ1', 'name': 'Keri Hilson', 'type': 'artist', 'uri': 'spotify:artist:63wjoROpeh5f11Qm93UiJ1'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4TLCPR1sMYoNU1jA7O4uww'}, 'href': 'https://api.spotify.com/v1/artists/4TLCPR1sMYoNU1jA7O4uww', 'id': '4TLCPR1sMYoNU1jA7O4uww', 'name': 'D.O.E.', 'type': 'artist', 'uri': 'spotify:artist:4TLCPR1sMYoNU1jA7O4uww'}]",179.146,5RM4iGrNOyeKLTcMv2FPc9,The Way I Are,58,,,,,"['Timbaland', 'Keri Hilson', 'D.O.E.']"
album,https://open.spotify.com/album/6aAGx3HGsNoWvn6rMRHXBm,Curtis,2007-01-01,17,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh'}, 'href': 'https://api.spotify.com/v1/artists/3q7HBObVc0L8jNeTe5Gofh', 'id': '3q7HBObVc0L8jNeTe5Gofh', 'name': '50 Cent', 'type': 'artist', 'uri': 'spotify:artist:3q7HBObVc0L8jNeTe5Gofh'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7'}, 'href': 'https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7', 'id': '31TPClRtHm23RisEBtV3X7', 'name': 'Justin Timberlake', 'type': 'artist', 'uri': 'spotify:artist:31TPClRtHm23RisEBtV3X7'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ'}, 'href': 'https://api.spotify.com/v1/artists/5Y5TRrQiqgUO4S36tzjIRZ', 'id': '5Y5TRrQiqgUO4S36tzjIRZ', 'name': 'Timbaland', 'type': 'artist', 'uri': 'spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ'}]",247.946,6kfQDanT6Buh4Wu73ghbav,Ayo Technology,69,,,,,"['50 Cent', 'Justin Timberlake', 'Timbaland']"
album,https://open.spotify.com/album/6aAGx3HGsNoWvn6rMRHXBm,Curtis,2007-01-01,17,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh'}, 'href': 'https://api.spotify.com/v1/artists/3q7HBObVc0L8jNeTe5Gofh', 'id': '3q7HBObVc0L8jNeTe5Gofh', 'name': '50 Cent', 'type': 'artist', 'uri': 'spotify:artist:3q7HBObVc0L8jNeTe5Gofh'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7'}, 'href': 'https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7', 'id': '31TPClRtHm23RisEBtV3X7', 'name': 'Justin Timberlake', 'type': 'artist', 'uri': 'spotify:artist:31TPClRtHm23RisEBtV3X7'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5Y5TRrQiqgUO4S36tzjIRZ'}, 'href': 'https://api.spotify.com/v1/artists/5Y5TRrQiqgUO4S36tzjIRZ', 'id': '5Y5TRrQiqgUO4S36tzjIRZ', 'name': 'Timbaland', 'type': 'artist', 'uri': 'spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ'}]",247.946,6kfQDanT6Buh4Wu73ghbav,Ayo Technology,69,,,,,"['50 Cent', 'Justin Timberlake', 'Timbaland']"
album,https://open.spotify.com/album/797fkvAtk0iZvP1HHPCWbp,R&G (Rhythm & Gangsta): The Masterpiece,2004-01-01,20,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7hJcb9fa4alzcOq3EaNPoG'}, 'href': 'https://api.spotify.com/v1/artists/7hJcb9fa4alzcOq3EaNPoG', 'id': '7hJcb9fa4alzcOq3EaNPoG', 'name': 'Snoop Dogg', 'type': 'artist', 'uri': 'spotify:artist:7hJcb9fa4alzcOq3EaNPoG'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6CxZzQFUTM6AzgluGwtq5w'}, 'href': 'https://api.spotify.com/v1/artists/6CxZzQFUTM6AzgluGwtq5w', 'id': '6CxZzQFUTM6AzgluGwtq5w', 'name': 'Charlie Wilson', 'type': 'artist', 'uri': 'spotify:artist:6CxZzQFUTM6AzgluGwtq5w'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7'}, 'href': 'https://api.spotify.com/v1/artists/31TPClRtHm23RisEBtV3X7', 'id': '31TPClRtHm23RisEBtV3X7', 'name': 'Justin Timberlake', 'type': 'artist', 'uri': 'spotify:artist:31TPClRtHm23RisEBtV3X7'}]",236.48,4HSAJpNocVNJbwbQvtCMdO,Signs,65,,,,,"['Snoop Dogg', 'Charlie Wilson', 'Justin Timberlake']"
single,https://open.spotify.com/album/5xT3T40c8JCeLagNnBcgfw,9 Shots,2015-08-14,1,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3q7HBObVc0L8jNeTe5Gofh'}, 'href': 'https://api.spotify.com/v1/artists/3q7HBObVc0L8jNeTe5Gofh', 'id': '3q7HBObVc0L8jNeTe5Gofh', 'name': '50 Cent', 'type': 'artist', 'uri': 'spotify:artist:3q7HBObVc0L8jNeTe5Gofh'}]",133.493,2Vad27HyoEZUnj7U3RKFRI,9 Shots,52,,,,,['50 Cent']
