album_type,album_name,release_date,total_tracks,track_lenght,track_name,popularity,artist,dates,hour,weekday,week_of_year,month_num,month_name,quarter,year,weekend,track_lenghts
album,WE STILL DON'T TRUST YOU,2024-04-12,25,414893,Red Leather,70,"['Future', 'Metro Boomin', 'J. Cole']",2024-09-05 13:28:54,13,Thursday,36,9,September,3,2024,No,414893
single,Tender,2024-04-19,1,151799,Tender,46,['Quavo'],2024-09-05 13:21:58,13,Thursday,36,9,September,3,2024,No,151799
single,Blueberry Faygo,2020-02-07,1,162546,Blueberry Faygo,71,['Lil Mosey'],2024-09-05 13:19:26,13,Thursday,36,9,September,3,2024,No,162546
album,VULTURES 1,2024-02-09,15,209577,FUK SUMN,74,"['¥$', 'Kanye West', 'Ty Dolla $ign']",2024-09-05 13:16:43,13,Thursday,36,9,September,3,2024,No,209577
album,VULTURES 1,2024-02-09,15,145785,PAPERWORK,63,"['¥$', 'Kanye West', 'Ty Dolla $ign']",2024-09-05 13:13:13,13,Thursday,36,9,September,3,2024,No,145785
album,WE STILL DON'T TRUST YOU,2024-04-12,25,252920,We Still Don't Trust You,77,"['Future', 'Metro Boomin', 'The Weeknd']",2024-09-05 13:10:46,13,Thursday,36,9,September,3,2024,No,252920
album,WE STILL DON'T TRUST YOU,2024-04-12,25,252920,We Still Don't Trust You,77,"['Future', 'Metro Boomin', 'The Weeknd']",2024-09-05 13:06:56,13,Thursday,36,9,September,3,2024,No,252920
album,WE DON'T TRUST YOU,2024-03-22,17,226213,We Don't Trust You,73,"['Future', 'Metro Boomin']",2024-09-05 11:50:04,11,Thursday,36,9,September,3,2024,No,226213
album,WE STILL DON'T TRUST YOU,2024-04-12,25,220626,Drink N Dance,63,"['Future', 'Metro Boomin']",2024-09-05 11:46:17,11,Thursday,36,9,September,3,2024,No,220626
single,Push Ups,2024-04-19,1,232774,Push Ups,77,['Drake'],2024-09-05 11:42:36,11,Thursday,36,9,September,3,2024,No,232774
single,Headrush,2024-05-10,1,170886,Headrush,47,['Ski Mask The Slump God'],2024-09-05 11:38:43,11,Thursday,36,9,September,3,2024,No,170886
single,Family Matters,2024-05-03,1,456933,Family Matters,76,['Drake'],2024-09-05 11:35:51,11,Thursday,36,9,September,3,2024,No,456933
album,All Is Yellow,2024-01-26,14,156800,Say Ya Grace (with Chief Keef & Lil Yachty),56,"['Lyrical Lemonade', 'Chief Keef', 'Lil Yachty']",2024-09-05 11:28:14,11,Thursday,36,9,September,3,2024,No,156800
album,Meet The Woo 2,2020-02-07,13,108160,Get Back,68,['Pop Smoke'],2024-09-05 11:25:37,11,Thursday,36,9,September,3,2024,No,108160
single,Bandit,2024-02-01,1,147746,BANDIT,75,['Don Toliver'],2024-09-05 11:23:48,11,Thursday,36,9,September,3,2024,No,147746
album,UTOPIA,2023-07-28,19,255412,MODERN JAM (feat. Teezo Touchdown),71,"['Travis Scott', 'Teezo Touchdown']",2024-09-05 11:21:20,11,Thursday,36,9,September,3,2024,No,255412
album,2093,2024-02-16,22,172500,If We Being Rëal,84,['Yeat'],2024-09-05 11:17:04,11,Thursday,36,9,September,3,2024,No,172500
album,Ghetto Fabulous,2023-11-17,14,121399,ONE CALL,80,['Rich Amiri'],2024-09-05 11:14:11,11,Thursday,36,9,September,3,2024,No,121399
album,TESTING,2018-05-25,15,205040,Praise The Lord (Da Shine) (feat. Skepta),81,"['A$AP Rocky', 'Skepta']",2024-09-05 11:12:09,11,Thursday,36,9,September,3,2024,No,205040
single,Upper Echelon (feat. T.I. & 2 Chainz),2013-05-21,1,243800,Upper Echelon (feat. T.I. & 2 Chainz),63,"['Travis Scott', 'T.I.', '2 Chainz']",2024-09-05 11:08:43,11,Thursday,36,9,September,3,2024,No,243800
album,Without Warning,2017-10-30,10,172800,Ric Flair Drip (with Metro Boomin),85,"['Offset', 'Metro Boomin']",2024-09-05 11:04:39,11,Thursday,36,9,September,3,2024,No,172800
album,?,2018-03-16,18,166605,SAD!,79,['XXXTENTACION'],2024-09-05 11:01:46,11,Thursday,36,9,September,3,2024,No,166605
album,VULTURES 1,2024-02-09,15,264324,CARNIVAL,83,"['¥$', 'Kanye West', 'Ty Dolla $ign']",2024-09-05 10:58:59,10,Thursday,36,9,September,3,2024,No,264324
album,WE STILL DON'T TRUST YOU,2024-04-12,25,213853,Show of Hands,66,"['Future', 'Metro Boomin', 'A$AP Rocky']",2024-09-05 10:54:34,10,Thursday,36,9,September,3,2024,No,213853
album,Rodeo,2015-09-04,16,262693,Antidote,74,['Travis Scott'],2024-09-05 10:50:59,10,Thursday,36,9,September,3,2024,No,262693
album,Rodeo,2015-09-04,16,339066,90210 (feat. Kacy Hill),79,"['Travis Scott', 'Kacy Hill']",2024-09-05 10:46:36,10,Thursday,36,9,September,3,2024,No,339066
single,Jumpin (feat. Polo G),2021-11-05,1,181198,Jumpin (feat. Polo G),56,"['NLE Choppa', 'Polo G']",2024-09-05 10:40:57,10,Thursday,36,9,September,3,2024,No,181198
album,WE DON'T TRUST YOU,2024-03-22,17,228266,Type Shit,87,"['Future', 'Metro Boomin', 'Travis Scott', 'Playboi Carti']",2024-09-05 10:37:55,10,Thursday,36,9,September,3,2024,No,228266
