date_time,hour,weekday,week_of_year,month_num,month_name,quarter,year,weekend
2024-09-02 15:20:10.930000+00:00,15,Monday,36,9,September,3,2024,No
2024-09-02 15:16:43.703000+00:00,15,Monday,36,9,September,3,2024,No
2024-09-02 08:21:56.180000+00:00,8,Monday,36,9,September,3,2024,No
2024-09-01 09:43:22.370000+00:00,9,Sunday,35,9,September,3,2024,Yes
2024-09-01 09:40:05.216000+00:00,9,Sunday,35,9,September,3,2024,Yes
2024-09-01 09:27:43.705000+00:00,9,Sunday,35,9,September,3,2024,Yes
2024-09-01 09:24:45.076000+00:00,9,Sunday,35,9,September,3,2024,Yes
2024-09-01 09:20:21.808000+00:00,9,Sunday,35,9,September,3,2024,Yes
2024-09-01 09:04:08.263000+00:00,9,Sunday,35,9,September,3,2024,Yes
2024-09-01 09:02:19.808000+00:00,9,Sunday,35,9,September,3,2024,Yes
2024-09-01 08:59:44.599000+00:00,8,Sunday,35,9,September,3,2024,Yes
2024-09-01 08:54:54.314000+00:00,8,Sunday,35,9,September,3,2024,Yes
2024-09-01 08:51:13.159000+00:00,8,Sunday,35,9,September,3,2024,Yes
2024-08-31 13:36:55.436000+00:00,13,Saturday,35,8,August,3,2024,Yes
2024-08-31 13:32:15.550000+00:00,13,Saturday,35,8,August,3,2024,Yes
2024-08-31 13:18:36.652000+00:00,13,Saturday,35,8,August,3,2024,Yes
2024-08-31 13:14:42.776000+00:00,13,Saturday,35,8,August,3,2024,Yes
2024-08-31 12:58:26.190000+00:00,12,Saturday,35,8,August,3,2024,Yes
2024-08-31 12:55:48.409000+00:00,12,Saturday,35,8,August,3,2024,Yes
2024-08-31 12:53:05.614000+00:00,12,Saturday,35,8,August,3,2024,Yes
2024-08-31 12:51:05.741000+00:00,12,Saturday,35,8,August,3,2024,Yes
2024-08-31 12:48:38.203000+00:00,12,Saturday,35,8,August,3,2024,Yes
2024-08-31 12:45:46.508000+00:00,12,Saturday,35,8,August,3,2024,Yes
2024-08-31 12:42:31.922000+00:00,12,Saturday,35,8,August,3,2024,Yes
2024-08-29 22:23:02.516000+00:00,22,Thursday,35,8,August,3,2024,No
2024-08-29 22:19:17.200000+00:00,22,Thursday,35,8,August,3,2024,No
2024-08-28 15:09:53.739000+00:00,15,Wednesday,35,8,August,3,2024,No
2024-08-28 12:51:50.167000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:47:21.971000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:43:14.170000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:37:58.173000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:35:28.836000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:33:06.649000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:29:55.017000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:24:39.818000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:22:05.649000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:18:23.073000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:16:21.791000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:14:21.978000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:11:54.782000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:09:03.089000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-28 12:06:00.991000+00:00,12,Wednesday,35,8,August,3,2024,No
2024-08-27 17:27:10.264000+00:00,17,Tuesday,35,8,August,3,2024,No
2024-08-27 17:18:28.050000+00:00,17,Tuesday,35,8,August,3,2024,No
2024-08-27 17:14:02.773000+00:00,17,Tuesday,35,8,August,3,2024,No
2024-08-27 17:02:54.102000+00:00,17,Tuesday,35,8,August,3,2024,No
2024-08-27 16:51:39.460000+00:00,16,Tuesday,35,8,August,3,2024,No
2024-08-27 16:43:22.672000+00:00,16,Tuesday,35,8,August,3,2024,No
2024-08-27 16:25:08.546000+00:00,16,Tuesday,35,8,August,3,2024,No
2024-08-27 16:10:37.002000+00:00,16,Tuesday,35,8,August,3,2024,No
